image_name,label
Grunge_4843.jpg,1
Psychedelic Rock_2848.jpg,0
Chamber Pop_2598.jpg,8
Alt-Country_918.jpg,12
Garage Rock_3613.jpg,0
Indie Rock_1580.jpg,1
Drone_5827.jpg,13
Experimental_3483.jpg,13
Pop Reggae_6287.jpg,6
Surf Pop_2737.jpg,0
Indie Folk_611.jpg,11
Hardcore Punk_2554.jpg,2
Reggae_4741.jpg,15
New Wave_5865.jpg,0
Indie Rock_6238.jpg,1
Electro-Disco_6091.jpg,5
Indie Rock_457.jpg,1
Alternative Rock_4352.jpg,0
Microhouse_967.jpg,4
Hardcore Hip Hop_964.jpg,10
Indie Rock_3426.jpg,1
Drone_2609.jpg,13
Chamber Pop_1046.jpg,8
Post-Punk_4439.jpg,1
Indie Folk_5342.jpg,11
Singer-Songwriter_2195.jpg,11
Experimental_4307.jpg,13
Contemporary R&B_5149.jpg,7
Comedy Rap_2507.jpg,10
Indie Pop_2383.jpg,8
Pop Rock_863.jpg,6
Electronic_3916.jpg,4
Post-Punk_2060.jpg,1
Alternative Rock_3401.jpg,0
Indie Rock_1219.jpg,1
Abstract Hip Hop_1540.jpg,10
Electronic_3902.jpg,4
Pop Rock_5298.jpg,6
Alternative Rock_1564.jpg,0
Neo-Psychedelia_5884.jpg,1
Alternative Rock_3373.jpg,0
Ambient_4239.jpg,14
Pop Punk_3933.jpg,2
Alternative Rock_3824.jpg,0
Indie Folk_2820.jpg,11
House_893.jpg,4
Folk_3178.jpg,11
Alternative Rock_2284.jpg,0
Alternative Metal_2212.jpg,1
Shoegaze_3811.jpg,1
Jam Band_19.jpg,0
Alt-Country_5963.jpg,12
Krautrock_6043.jpg,0
Pop Rock_4435.jpg,6
Post-Punk_3815.jpg,1
Alt-Country_2956.jpg,12
Glam Rock_5655.jpg,0
Ambient Dub_4590.jpg,14
Art Pop_540.jpg,8
Dream Pop_3053.jpg,1
Conscious Hip Hop_1179.jpg,10
Folk_914.jpg,11
Shoegaze_1009.jpg,1
Pop Rap_2072.jpg,6
Post-Punk_5243.jpg,1
Indie Rock_1741.jpg,1
Alt-Country_1278.jpg,12
Conscious Hip Hop_2464.jpg,10
Alternative Rock_2535.jpg,0
Alternative Rock_1014.jpg,0
Indie Rock_46.jpg,1
Alternative Metal_4850.jpg,1
Alternative Rock_5500.jpg,0
Hard Rock_4463.jpg,0
Post-Punk Revival_322.jpg,1
Power Pop_1299.jpg,0
Alternative Metal_4844.jpg,1
Sludge Metal_1194.jpg,3
Psychedelic Rock_4008.jpg,0
Psychedelic Rock_5316.jpg,0
Instrumental Hip Hop_2902.jpg,10
Alternative Rock_3788.jpg,0
Moogsploitation_3192.jpg,13
Alternative Rock_3950.jpg,0
IDM_5672.jpg,13
Alternative Dance_2537.jpg,1
New Wave_2501.jpg,0
Electronic_3447.jpg,4
Sludge Metal_6002.jpg,3
Trip Hop_6187.jpg,10
Hip Hop_2922.jpg,10
Folk Rock_812.jpg,0
Folk_4777.jpg,11
Singer-Songwriter_3658.jpg,11
Trip Hop_6193.jpg,10
Electronic_5022.jpg,4
Indie Rock_2499.jpg,1
Shoegaze_3965.jpg,1
Punk Blues_426.jpg,2
Dream Pop_1724.jpg,1
Punk Rock_5375.jpg,2
Ambient_4826.jpg,14
Indie Pop_6250.jpg,8
Singer-Songwriter_1067.jpg,11
Art Pop_2809.jpg,8
Pop Rap_624.jpg,6
Folk_1633.jpg,11
Indie Pop_6244.jpg,8
Singer-Songwriter_1073.jpg,11
Alternative Rock_4971.jpg,0
Indie Rock_912.jpg,1
Contemporary R&B_2587.jpg,7
East Coast Hip Hop_2443.jpg,10
Post-Hardcore_2983.jpg,0
Black Metal_5178.jpg,3
Avant-Garde Jazz_3686.jpg,9
Psychedelic Rock_4632.jpg,0
Contemporary R&B_3672.jpg,7
Indie Rock_1621.jpg,1
Alternative Rock_2333.jpg,0
Gangsta Rap_2022.jpg,10
Alt-Country_4260.jpg,12
Indie Rock_2328.jpg,1
Indie Rock_3036.jpg,1
Alternative Rock_6141.jpg,0
Hip Hop_5042.jpg,10
Glam Rock_5906.jpg,0
Indie Rock_1153.jpg,1
Thrash Metal_5558.jpg,3
Singer-Songwriter_6085.jpg,11
Rock_401.jpg,0
Indie Rock_3744.jpg,1
Indie Rock_5335.jpg,1
Experimental_4059.jpg,13
Alternative Rock_5306.jpg,0
Post-Punk Revival_524.jpg,1
Electropop_4984.jpg,4
Indie Rock_2472.jpg,1
Shoegaze_3030.jpg,1
Neo-Psychedelia_642.jpg,1
Art Pop_4277.jpg,8
Country Rock_5993.jpg,12
Indie Folk_2767.jpg,11
Synthpop_4814.jpg,5
Indie Rock_4017.jpg,1
Electro House_1202.jpg,4
Thrash Metal_5564.jpg,3
Art Pop_4511.jpg,8
Alt-Country_1456.jpg,12
Future Garage_3299.jpg,4
Electronic_4894.jpg,4
Indie Rock_4598.jpg,1
Experimental Rock_3207.jpg,1
Indie Pop_5201.jpg,8
